Unnamed: 0,Name,Brand,Model,Battery capacity (mAh),Screen size (inches),Touchscreen,Resolution x,Resolution y,Processor,RAM (MB),Internal storage (GB),Rear camera,Front camera,Operating system,Wi-Fi,Bluetooth,GPS,Number of SIMs,3G,4G/ LTE,Price,Customer Reviews
0,OnePlus 7T Pro McLaren Edition,OnePlus,7T Pro McLaren Edition,4085,6.67,Yes,1440,3120,8,12000,256.0,48.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,58998,"Excellent performance, worth the price."
1,Realme X2 Pro,Realme,X2 Pro,4000,6.5,Yes,1080,2400,8,6000,64.0,64.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,27999,"Great battery life, perfect for gaming."
2,iPhone 11 Pro Max,Apple,iPhone 11 Pro Max,3969,6.5,Yes,1242,2688,6,4000,64.0,12.0,12.0,iOS,Yes,Yes,Yes,2,Yes,Yes,106900,"Amazing camera quality, a bit expensive."
3,iPhone 11,Apple,iPhone 11,3110,6.1,Yes,828,1792,6,4000,64.0,12.0,12.0,iOS,Yes,Yes,Yes,2,Yes,Yes,62900,"Good value for money, smooth performance."
4,LG G8X ThinQ,LG,G8X ThinQ,4000,6.4,Yes,1080,2340,8,6000,128.0,12.0,32.0,Android,Yes,Yes,Yes,1,No,No,49990,"Battery could be better, decent overall."
5,OnePlus 7T,OnePlus,7T,3800,6.55,Yes,1080,2400,8,8000,128.0,48.0,16.0,Android,Yes,Yes,No,2,Yes,Yes,34930,Highly recommend for photography lovers.
6,OnePlus 7T Pro,OnePlus,7T Pro,4085,6.67,Yes,1440,3120,8,8000,256.0,48.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,52990,"Affordable and reliable, good screen quality."
7,Samsung Galaxy Note 10+,Samsung,Galaxy Note 10+,4300,6.8,Yes,1440,3040,8,12000,256.0,12.0,10.0,Android,Yes,Yes,Yes,2,Yes,Yes,79699,"Sleek design, average battery life."
8,Asus ROG Phone 2,Asus,ROG Phone 2,6000,6.59,Yes,1080,2340,8,8000,128.0,48.0,24.0,Android,Yes,Yes,Yes,1,Yes,Yes,37999,"Perfect for everyday use, budget-friendly."
9,Xiaomi Redmi K20 Pro,Xiaomi,Redmi K20 Pro,4000,6.39,Yes,1080,2340,8,6000,128.0,48.0,20.0,Android,Yes,Yes,Yes,2,No,No,23190,"Premium quality, outstanding features."
10,Oppo K3,Oppo,K3,3765,6.5,Yes,1080,2340,8,6000,64.0,16.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,23990,"Excellent performance, worth the price."
11,Realme X,Realme,X,3765,6.53,Yes,1080,2340,8,4000,128.0,48.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,14999,"Great battery life, perfect for gaming."
